Date,ICO composite indicator,"Colombian
 Milds",Other Milds,"Brazilian
 Naturals",Robustas,Target,Rainfall - (MM),Bond _Value,Tea_Price,Starbucks
1992-06-01,48.13,64.1,59.09,49.08,37.17,11.820454545454544,194.595,7.26181818181818,76.188,0.34765633333333334
1992-07-01,48.7,62.5,58.2,48.53,39.19,11.57272727272727,249.382,6.844545454545455,79.816,0.3993254545454546
1992-08-01,45.89,56.49,52.93,46.4,38.85,11.558928571428574,217.829,6.585714285714286,81.63,0.39983257142857137
1992-09-01,47.11,56.18,53.23,49.43,40.98,11.623809523809522,231.187,6.415238095238097,87.072,0.46726209523809525
1992-10-01,52.88,64.77,61.57,59.64,44.19,11.301704545454548,126.71,6.58590909090909,85.7115,0.4707920454545454
1992-11-01,57.49,71.72,67.31,64.64,47.67,11.444999999999999,197.326,6.875,82.537,0.5152344999999998
1992-12-01,64.0,81.52,77.19,74.39,50.81,11.881818181818177,148.429,6.769999999999999,84.35100000000001,0.5559304090909092
1993-01-01,58.14,71.61,69.39,67.13,46.9,12.17625,133.991,6.599999999999999,86.6185,0.6072266500000001
1993-02-01,57.32,72.45,67.65,66.34,46.99,12.802631578947366,121.20700000000001,6.258947368421054,80.723,0.5627058421052631
1993-03-01,54.76,67.07,63.62,62.6,45.9,13.240217391304347,196.08700000000002,5.975217391304348,71.653,0.5933256086956521
1993-04-01,51.38,59.77,57.87,54.92,44.88,14.64523809523809,248.34,5.969523809523809,66.211,0.5984935238095237
1993-05-01,54.18,67.35,62.18,57.26,46.17,15.204999999999995,312.04,6.0355,64.397,0.70068365
1993-06-01,54.54,68.13,62.5,55.7,46.57,14.853977272727276,180.076,5.962727272727272,67.118,0.7430754090909093
1993-07-01,60.61,76.4,71.81,65.76,49.4,14.996428571428575,314.694,5.805238095238097,72.10650000000001,0.7785529523809525
1993-08-01,67.69,84.18,76.92,73.25,58.46,14.738636363636367,220.016,5.677727272727274,68.4785,0.7423651363636363
1993-09-01,71.64,86.58,80.77,75.58,62.5,14.742857142857144,277.103,5.36,65.75750000000001,0.7788319523809525
1993-10-01,67.78,83.02,76.64,71.65,58.92,15.040476190476191,208.86900000000003,5.328476190476191,69.83900000000001,0.8344496666666666
1993-11-01,70.03,85.56,78.6,74.2,61.46,14.102380952380955,287.29900000000004,5.697238095238094,66.211,0.7691593809523809
1993-12-01,71.5,87.33,81.19,74.51,61.81,13.796590909090913,134.203,5.738545454545456,68.4785,0.7072090000000002
1994-01-01,69.17,85.85,78.95,71.42,59.39,13.564285714285718,137.891,5.704428571428573,68.025,0.7126118095238095
1994-02-01,72.37,93.04,83.93,80.14,60.8,13.171052631578952,129.797,5.949315789473684,73.01350000000001,0.7171054736842105
1994-03-01,76.11,93.23,87.06,84.72,65.16,13.65,212.40400000000002,6.469739130434783,75.28099999999999,0.7365831304347826
1994-04-01,81.19,97.53,90.57,87.14,71.82,14.081578947368424,211.245,6.955210526315789,71.653,0.8175885263157896
1994-05-01,108.42,133.9,121.88,118.37,94.95,13.028571428571432,282.009,7.172761904761906,69.83900000000001,0.8735121904761904
1994-06-01,127.91,151.85,143.43,136.43,112.38,12.874999999999998,223.708,7.084454545454545,71.1995,0.8996806363636364
1994-07-01,191.44,222.75,218.89,211.81,164.0,12.744999999999996,277.94,7.2776499999999995,77.5485,0.8430666500000001
1994-08-01,181.53,210.61,200.44,192.38,162.61,12.865217391304341,206.989,7.22195652173913,75.28099999999999,0.8844261304347825
1994-09-01,202.39,231.52,222.0,212.73,182.78,12.74642857142857,246.923,7.44180952380952,71.1995,0.8127791428571429
1994-10-01,185.64,206.07,201.85,191.21,169.43,12.847619047619045,299.697,7.720428571428572,72.56,0.7671132380952381
1994-11-01,168.12,186.96,182.91,172.83,153.33,12.633333333333331,275.502,7.940142857142857,66.211,0.8677689047619048
1994-12-01,149.14,173.94,168.54,159.73,129.73,12.351190476190476,110.825,7.801476190476191,63.0365,0.8251489047619047
1995-01-01,152.08,177.23,172.62,162.81,131.54,12.0139880952381,103.374,7.7612380952380935,62.583,0.7739027142857141
1995-02-01,152.24,175.07,169.79,161.07,134.69,12.042105263157893,64.9245,7.457157894736842,61.67600000000001,0.779297
1995-03-01,162.73,185.75,179.43,171.48,146.03,12.479347826086958,184.072,7.192173913043478,60.769000000000005,0.7561990434782608
1995-04-01,159.59,180.3,174.4,166.54,144.78,12.213157894736838,277.15,7.043947368421053,61.222500000000004,0.7674753157894737
1995-05-01,155.96,177.18,171.01,161.72,140.9,12.259090909090903,287.344,6.618227272727274,58.955,0.8852095454545453
1995-06-01,141.66,170.89,154.49,145.22,128.82,12.310227272727275,334.316,6.150363636363637,58.50150000000001,1.0645419999999999
1995-07-01,132.71,157.22,145.66,139.68,119.76,12.207499999999996,326.101,6.262449999999999,58.048,1.1863283
1995-08-01,141.7,163.21,153.21,149.54,130.18,12.318478260869567,278.783,6.4783043478260876,56.23400000000001,1.217051695652174
1995-09-01,124.76,141.49,134.46,130.26,115.05,12.61,240.15200000000002,6.185,59.40850000000001,1.3112305
1995-10-01,120.02,132.08,127.27,127.23,112.76,12.913636363636362,242.65599999999998,6.028999999999999,57.594500000000004,1.1581145454545452
1995-11-01,117.99,129.09,125.25,125.33,110.73,13.249999999999996,218.893,5.9156666666666675,56.23400000000001,1.3081288095238095
1995-12-01,99.57,110.47,106.24,110.46,92.89,13.970624999999998,184.878,5.6982,57.594500000000004,1.3281252
1996-01-01,100.33,119.08,110.65,127.54,89.99,13.681818181818176,119.37100000000001,5.637636363636364,62.12950000000001,1.0607245454545453
1996-02-01,110.5,134.94,124.09,144.05,96.89,14.005,185.263,5.79315,60.769000000000005,1.0535157999999998
1996-03-01,105.89,130.6,120.84,140.99,90.94,13.508928571428571,211.493,6.2557142857142845,62.12950000000001,1.3247769999999999
1996-04-01,107.09,134.31,123.5,132.92,90.67,13.33392857142857,217.46599999999998,6.492809523809526,64.397,1.6281624761904758
1996-05-01,110.24,142.56,129.27,134.76,91.2,13.759090909090908,380.82099999999997,6.725318181818181,64.8505,1.7325108181818178
1996-06-01,105.79,133.25,125.46,125.44,86.11,13.876249999999999,305.749,6.899100000000002,63.49,1.6654299
1996-07-01,99.97,135.39,122.47,106.93,77.46,13.913636363636368,302.309,6.852045454545455,62.12950000000001,1.6196734999999998
1996-08-01,102.73,137.68,126.22,108.28,79.22,14.03352272727273,263.829,6.62240909090909,65.304,1.850674909090909
1996-09-01,96.52,123.3,118.7,103.1,74.34,15.160000000000002,201.585,6.81165,65.75750000000001,2.1218752
1996-10-01,98.56,127.77,124.2,105.77,72.92,15.113043478260868,275.288,6.521521739130434,67.5715,2.286599913043478
1996-11-01,97.14,129.41,124.07,103.76,70.2,14.974999999999994,236.967,6.1884,68.025,2.1490237499999996
1996-12-01,90.04,126.41,117.02,103.71,63.06,14.905952380952376,151.64700000000002,6.281142857142858,68.4785,2.016369333333333
1997-01-01,100.03,146.18,132.86,127.28,67.19,14.977272727272727,169.58599999999998,6.554181818181817,71.1995,1.9756749999999998
1997-02-01,121.89,188.62,168.37,160.21,75.4,15.094078947368422,140.039,6.39921052631579,73.01350000000001,2.200863684210526
1997-03-01,137.47,212.96,194.7,179.75,80.23,14.504999999999999,151.485,6.6792500000000015,81.1765,1.9560548999999998
1997-04-01,142.2,199.22,206.99,183.73,77.39,12.985227272727274,220.96,6.8696363636363635,89.793,1.8162288636363635
1997-05-01,180.44,318.5,267.27,209.62,93.6,12.907142857142855,262.435,6.69652380952381,90.24650000000001,1.8930432380952378
1997-06-01,155.38,227.15,222.02,184.21,88.74,12.671428571428573,336.662,6.478714285714285,87.5255,2.178943619047619
1997-07-01,135.04,190.57,190.41,158.52,79.65,12.940340909090908,213.125,6.20440909090909,91.1535,2.3304333636363634
1997-08-01,132.63,193.46,190.8,158.25,74.45,14.361904761904762,163.5,6.2865238095238105,100.2235,2.5163691904761905
